   -1.0000,    0.0270,    0.0420,   -0.8319,   -0.6373,   -0.6994,   -0.7354,   -0.7040,    0.5000,
   -1.0000,   -0.2568,   -0.2941,   -0.8407,   -0.8417,   -0.8675,   -0.8736,   -0.8635,    0.2143,
    1.0000,    0.2297,    0.2269,   -0.7611,   -0.5219,   -0.6564,   -0.6287,   -0.5845,    0.2857,
   -1.0000,   -0.0135,    0.0420,   -0.7788,   -0.6359,   -0.7115,   -0.7011,   -0.6941,    0.3214,
    0.0000,   -0.3108,   -0.3277,   -0.8584,   -0.8562,   -0.8810,   -0.8973,   -0.8934,    0.2143,
    0.0000,   -0.0541,   -0.1765,   -0.8319,   -0.7524,   -0.8117,   -0.7972,   -0.7638,    0.2500,
    1.0000,    0.2297,    0.2101,   -0.7345,   -0.4507,   -0.6826,   -0.6287,   -0.3453,    0.6786,
    1.0000,    0.2703,    0.2437,   -0.7788,   -0.4574,   -0.6059,   -0.6076,   -0.4848,    0.5357,
   -1.0000,    0.0811,    0.0588,   -0.7788,   -0.6405,   -0.7102,   -0.7051,   -0.6741,    0.2857,
    1.0000,    0.2838,    0.2941,   -0.7345,   -0.3678,   -0.5783,   -0.6037,   -0.3652,    0.6429,
    1.0000,    0.2162,    0.0924,   -0.7522,   -0.5718,   -0.7404,   -0.6129,   -0.5845,    0.4643,
   -1.0000,   -0.0405,   -0.0084,   -0.8053,   -0.7138,   -0.7761,   -0.7880,   -0.7339,    0.3214,
   -1.0000,    0.1216,    0.0924,   -0.7611,   -0.6179,   -0.7088,   -0.7512,   -0.6243,    0.3571,
    1.0000,    0.2432,    0.1765,   -0.7434,   -0.5166,   -0.6348,   -0.5510,   -0.5944,    0.3214,
    1.0000,    0.0676,    0.0084,   -0.8230,   -0.6646,   -0.7761,   -0.7893,   -0.6343,    0.3214,
   -1.0000,    0.1486,    0.1597,   -0.7699,   -0.5307,   -0.6543,   -0.6511,   -0.5247,    0.3929,
    0.0000,   -0.2432,   -0.2437,   -0.8496,   -0.7956,   -0.8736,   -0.8973,   -0.7738,    0.2143,
    1.0000,   -0.0135,   -0.0420,   -0.8230,   -0.6820,   -0.7485,   -0.7722,   -0.7439,    0.3214,
